"From: May 5, 2015, 2:52:49 PM To: May 25, 2015, 5:22:11 PM
Generated On: May 25, 2015, 5:23:45 PM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Wine: Hogwash Rose Glass","6","$42.00","0","$0.00","$42.00"
"Wine: Isabel Chard Bottle","2","$64.00","0","$0.00","$64.00"
"Wine: Isabel Chard Glass","17","$136.00","0","$0.00","$136.00"
"Wine: Leitz Out Bottle","2","$48.00","0","$0.00","$48.00"
"Wine: Leitz Out Glass","41","$246.00","0","$0.00","$246.00"
"Wine: Lyric Pinot Bottle","3","$64.00","0","$0.00","$64.00"
"Wine: Lyric Pinot Glass","51","$408.00","0","$0.00","$408.00"
"Wine: Malvira Arneis Bottle","1","$32.00","0","$0.00","$32.00"
"Wine: Malvira Arneis Glass","4","$32.00","0","$0.00","$32.00"
"Wine: Mar de Vinas Alb. Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: Maso P. G. Bottle","4","$112.00","0","$0.00","$112.00"
"Wine: Maso P. G. Glass","54","$371.00","0","$0.00","$371.00"
"Wine: Monte Velho Glass","4","$32.00","0","$0.00","$32.00"
"Wine: Mulderbosch Chenin Glass","8","$38.00","0","$0.00","$38.00"
"Wine: Nizas Le Mas Rouge Glass","3","$18.00","0","$0.00","$18.00"
"Wine: Oberon Cab Bottle","8","$304.00","0","$0.00","$304.00"
"Wine: Oberon Cab Glass","47","$347.60","0","$0.00","$347.60"
"Wine: Picard Chateaneuf Bottle","2","$90.00","0","$0.00","$90.00"
"Wine: R. Père Macon Village Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: R. Père Macon Villages Glass","11","$63.50","0","$0.00","$63.50"
"Wine: Secco Moscato Bottle","1","$32.00","0","$0.00","$32.00"
"Wine: Secco Moscato Glass","15","$109.75","0","$0.00","$109.75"
"Wine: Sin Zin Bottle","2","$56.00","0","$0.00","$56.00"
"Wine: Sin Zin Glass","12","$68.00","0","$0.00","$68.00"
"Wine: Special Red","31","$456.94","0","$0.00","$456.94"
"Wine: UBY Glass","9","$41.50","0","$0.00","$41.50"
"Wine: V Veldelho Glass","5","$3.50","0","$0.00","$3.50"
"Wine: Velvet Devil Bottle","4","$96.00","0","$0.00","$96.00"
"Wine: Velvet Devil Glass","60","$350.00","0","$0.00","$350.00"
"Wine: Walnut City Pinot Glass","6","$48.00","0","$0.00","$48.00"
"Wine: Walnut City Pinot Bottle","1","$32.00","0","$0.00","$32.00"
"Wine: Whitehaven Bottle","5","$120.00","0","$0.00","$120.00"
"Wine: Whitehaven Glass","56","$315.00","0","$0.00","$315.00"
"Wine: Xavier CDR Bottle","3","$84.00","0","$0.00","$84.00"
"Wine: Xavier CDR Glass","21","$144.00","0","$0.00","$144.00"
"Alcohol: Bloody Mary","2","$12.00","$12.00"
"Alcohol: Cosmopolitan","1","$8.00","$8.00"
"Alcohol: Jack Daniels ","1","$6.00","$6.00"
"Alcohol: Manhattan","2","$17.00","$17.00"
"Alcohol: Martini","2","$14.00","$14.00"
"Alcohol: Mimosa","2","$12.00","$12.00"
"Alcohol: Pomegranate Fizz","1","$6.00","$6.00"
"Beer: Bud Light","2","$7.00","$7.00"
"Beer: Lagunitas IPA","2","$9.00","$9.00"
"Beer: Paulaner Hefe-Weizen","1","$5.50","$5.50"
"Beer: S.T.A. Monkeynaut","1","$4.00","$4.00"
"Beer: St Paulie Non Alcoholic","1","$4.50","$4.50"
"Beer: Stella Artois Lager","1","$4.50","$4.50"
"Food: Antipasta","1","$13.00","$13.00"
"Food: Austrian Choc Torte","1","$6.00","$6.00"
"Food: Baby Spinach Half","1","$6.00","$6.00"
"Food: Steak Frites","2","$44.00","$44.00"
"Food: Bleu Caesar Half","1","$6.00","$6.00"
"Food: Caesar Full","2","$16.00","$16.00"
"Food: Chicken Schnitzel","2","$30.00","$30.00"
"Food: Strawberry Rhubarb Cobbler","1","$7.00","$7.00"
"Food: Dessert Sp","1","$7.00","$7.00"
"Food: Duck","2","$50.00","$50.00"
"Food: Eggs Benidict","1","$14.00","$14.00"
"Food: Fish Special","3","$61.00","$61.00"
"Food: French Toast","2","$28.00","$28.00"
"Food: Maison Full","1","$8.00","$8.00"
"Food: Maison Half","3","$18.00","$18.00"
"Food: Meatballs","1","$13.00","$13.00"
"Food: Mussels Provencal","3","$42.00","$42.00"
"Food: Peach Blueberry Pie","1","$7.00","$7.00"
"Food: Quiche","1","$12.00","$12.00"
"Food: Rack Of Lamb","2","$38.00","$38.00"
"Food: Scallops","1","$27.00","$27.00"
"Food: Shrimp Bisque Bowl","1","$8.00","$8.00"
"Food: Cappellini","2","$38.00","$38.00"
"Wine: Charles De Fere Bottle","2","$44.00","$44.00"
"Wine: Chateau Briot Glass","1","$6.00","$6.00"
"Wine: Chateaumar Grenache Glass","1","$7.00","$7.00"
"Wine: Corbières Glass","1","$7.00","$7.00"
"Wine: Gambler Malbec Glass","1","$8.00","$8.00"
"Wine: Hogwash Rose Glass","1","$7.00","$7.00"
"Wine: Isabel Chard Bottle","1","$32.00","$32.00"
"Wine: Isabel Chard Glass","5","$40.00","$40.00"
"Wine: Lyric Pinot Bottle","2","$64.00","$64.00"
"Wine: Lyric Pinot Glass","1","$8.00","$8.00"
"Wine: Maso P. G. Bottle","1","$28.00","$28.00"
"Wine: Maso P. G. Glass","2","$14.00","$14.00"
"Wine: Mulderbosch Chenin Glass","2","$13.00","$13.00"
"Wine: Oberon Cab Bottle","1","$38.00","$38.00"
"Wine: Oberon Cab Glass","6","$57.00","$57.00"
"Wine: Secco Moscato Glass","2","$16.00","$16.00"
"Wine: Special Red","3","$42.00","$42.00"
"Wine: Velvet Devil Glass","5","$30.00","$30.00"
"Wine: Whitehaven Glass","3","$18.00","$18.00"
"Wine: Xavier CDR Bottle","1","$28.00","$28.00"
